Activos,STD_ID_PERSON,STD_N_GENDERESP,Num_Periodo,SSP_ID_CONT_INTERN,SSP_NM_CONT_INESP,SSP_NO_DEFINIDO,CSP_N_AG_CATEGOR,CSP_NM_CATEGORESP,STD_N_WU_TYPEESP,STD_WORK_LOCESP,CSP_N_COLECTIVO,Edad,Nacionalidad,SSP_ID_MINUSVALIA
1,1004023,1,2,1,40,0,0,0,44,0,0,42,9,0
1,1004024,0,2,1,40,0,0,0,52,0,0,42,9,0
1,1004030,0,2,1,40,0,0,0,45,0,0,52,9,0
1,1004033,0,2,1,40,0,0,0,57,0,0,51,9,0
1,1004033,0,2,6,39,0,0,0,57,0,0,51,9,0
1,1004034,0,2,1,40,0,2,8,62,0,0,49,9,0
1,1004035,0,2,5,12,0,2,8,62,0,0,39,9,0
1,1004038,0,3,1,40,0,2,8,62,0,0,51,9,0
0,1004038,0,3,1,40,0,2,8,62,0,0,51,9,0
1,1004040,0,2,1,40,0,1,2,32,0,0,49,9,0
1,1004041,1,2,5,12,0,2,8,62,0,0,39,9,0
1,1004044,0,2,1,40,0,0,0,46,0,0,46,9,0
1,1004064,0,2,5,12,0,2,8,62,0,0,51,9,0
0,1004064,0,2,5,12,0,2,8,62,0,0,51,9,0
1,1004064,0,4,1,40,0,2,8,62,0,0,51,9,0
1,1004064,0,3,1,40,0,2,8,62,0,0,51,9,0
1,1004064,0,3,1,40,0,2,8,62,0,0,51,9,0
1,1004064,0,4,1,40,0,2,8,62,0,0,51,9,0
1,1004069,1,2,1,40,0,0,0,45,0,0,47,9,0
1,1004069,1,2,6,39,0,0,0,45,0,0,47,9,0
1,1004069,1,2,1,40,0,0,0,45,0,0,47,9,0
1,1004077,0,2,1,40,0,0,0,51,0,0,44,9,0
1,1004080,0,2,5,12,0,1,4,40,0,0,43,9,0
1,1004080,0,2,5,12,0,1,4,17,0,0,43,9,0
1,1004082,1,2,5,12,0,1,4,32,0,0,39,9,0
1,1004083,0,2,5,12,0,1,4,14,0,0,44,9,0
1,1004086,0,2,5,12,0,1,4,40,0,0,37,9,0
0,1004086,0,2,5,12,0,1,4,40,0,0,37,9,0
1,1004088,1,2,1,40,0,1,9,26,0,0,48,9,0
1,1004088,1,2,1,40,0,1,9,38,0,0,48,9,0
1,1004089,0,2,5,12,0,2,8,68,0,0,43,9,0
1,1004090,0,2,1,40,0,0,0,57,0,0,42,9,0
0,1004090,0,2,1,40,0,0,0,57,0,0,42,9,0
1,1004092,0,2,5,12,0,1,3,33,0,0,41,9,0
1,1004092,0,2,5,12,0,2,7,33,0,0,41,9,0
1,1004095,0,2,1,40,0,0,0,4,0,0,41,9,0
1,1004105,0,2,1,40,0,2,6,71,0,0,49,9,0
