,STD_ID_PERSON,STD_N_GENDERESP,Num_Periodo,SSP_ID_CONT_INTERN,SSP_NM_CONT_INESP,SSP_NO_DEFINIDO,CSP_N_AG_CATEGOR,CSP_NM_CATEGORESP,STD_N_WU_TYPEESP,STD_WORK_LOCESP,CSP_N_COLECTIVO,Edad,Nacionalidad,SSP_ID_MINUSVALIA,Activos
6379,1029443,0,1,15,1,1,1,2,23,0,0,27,9,0,1
6380,1029443,0,1,22,20,1,1,2,23,0,2,27,9,0,1
6381,1029446,0,1,28,18,0,1,2,32,0,0,33,9,0,1
6382,1029446,0,1,15,1,1,1,2,32,0,0,33,9,0,1
6383,1029465,0,1,36,9,1,0,0,39,0,2,32,9,0,1
6384,1029465,0,1,40,28,0,0,0,39,0,0,32,9,0,1
6385,1029471,0,2,13,2,1,1,2,32,0,1,47,9,0,1
6386,1029471,0,1,15,1,1,1,2,32,0,0,47,9,0,1
6387,1029471,0,1,13,2,1,1,2,32,0,1,47,9,0,1
6388,1029471,0,1,22,20,1,1,2,32,0,2,47,9,0,1
6389,1029471,0,2,22,20,1,1,2,32,0,2,47,9,0,1
6390,1029475,0,1,40,28,0,1,2,31,0,0,24,9,0,1
6391,1029476,1,1,6,39,0,0,0,60,0,0,37,23,0,1
6392,1029478,1,1,30,34,1,0,0,9,0,1,31,9,0,1
6393,1029478,1,1,40,28,0,0,0,9,0,0,31,9,0,1
6394,1029482,0,1,13,2,1,1,9,32,0,1,39,9,0,1
6395,1029484,1,1,40,28,0,1,2,31,0,0,24,9,0,1
6396,1029502,0,1,41,25,1,1,3,33,0,2,29,9,0,1
6397,1029503,0,2,22,20,1,1,3,33,0,2,33,9,0,1
6398,1029503,0,1,14,5,1,1,3,33,0,2,33,9,0,1
6399,1029504,0,1,35,10,1,1,2,31,0,2,26,9,0,1
6400,1029506,0,1,41,25,1,1,2,38,0,2,37,9,0,1
6401,1029506,0,1,13,2,1,1,2,38,0,1,37,9,0,1
6402,1029506,0,1,22,20,1,1,2,38,0,2,37,9,0,1
6403,1029506,0,2,13,2,1,1,2,38,0,1,37,9,0,1
6404,1029506,0,2,41,25,1,1,2,38,0,2,37,9,0,1
6405,1029511,0,1,40,28,0,1,2,26,0,0,35,9,0,1
6406,1029515,0,1,11,6,1,2,7,65,0,0,30,9,0,1
6407,1029515,0,1,5,12,0,2,7,65,0,0,30,9,0,1
6408,1029522,1,3,16,4,1,1,4,38,0,2,24,9,0,1
6409,1029522,1,2,22,20,1,1,4,31,0,2,24,9,0,1
6410,1029522,1,1,22,20,1,1,4,31,0,2,24,9,0,1
6411,1029524,1,1,36,9,1,1,2,38,0,2,33,9,0,1
6412,1029524,1,1,41,25,1,1,2,38,0,2,33,9,0,1
6413,1029527,0,1,22,20,1,2,8,62,0,2,20,9,0,1
6414,1029527,0,2,15,1,1,2,8,62,0,0,20,9,0,1
6415,1029527,0,1,15,1,1,2,8,62,0,0,20,9,0,1
6416,1029528,0,1,22,20,1,1,4,32,0,2,31,9,0,1
6417,1029530,0,1,22,20,1,1,2,32,0,2,24,9,0,1
6418,1029530,0,1,22,20,1,1,2,26,0,2,24,9,0,1
6419,1029531,0,1,1,40,0,0,0,1,0,0,34,9,0,1
6420,1029533,1,1,9,36,1,1,4,31,0,1,27,9,0,1
6421,1029535,0,1,1,40,0,0,0,60,0,0,32,9,0,1
6422,1029536,1,1,1,40,0,0,0,60,0,0,33,9,0,1
6423,1029537,0,1,9,36,1,1,4,31,0,1,20,9,0,1
6424,1029539,0,1,8,38,1,1,2,31,0,1,24,9,0,1
6425,1029539,0,1,40,28,0,1,2,31,0,0,24,9,0,1
6426,1029541,0,1,9,36,1,1,2,38,0,1,24,9,0,1
6427,1029548,1,1,9,36,1,1,2,23,0,1,31,9,0,1
6428,1029553,1,1,30,34,1,1,2,38,0,1,38,9,0,1
6429,1029553,1,2,40,28,0,1,2,38,0,0,38,9,0,1
6430,1029553,1,2,36,9,1,1,2,38,0,2,38,9,0,1
6431,1029553,1,2,36,9,1,1,2,26,0,2,38,9,0,1
6432,1029555,0,1,16,4,1,2,8,62,0,2,47,9,0,1
6433,1029555,0,1,22,20,1,2,8,62,0,2,47,9,0,1
6434,1029556,0,1,9,36,1,1,2,38,0,1,38,9,0,1
6435,1029556,0,1,30,34,1,1,2,38,0,1,38,9,0,1
6436,1029557,0,1,9,36,1,1,4,31,0,1,22,9,0,1
6437,1029558,0,1,9,36,1,1,2,31,0,1,61,17,0,1
6438,1029563,0,1,9,36,1,1,4,31,0,1,25,9,0,1
6439,1029566,0,2,40,28,0,1,4,30,0,0,41,9,0,1
6440,1029566,0,1,22,20,1,1,4,30,0,2,41,9,0,1
6441,1029566,0,2,22,20,1,1,4,30,0,2,41,9,0,1
6442,1029566,0,1,40,28,0,1,4,30,0,0,41,9,0,1
6443,1029566,0,3,16,4,1,1,4,30,0,2,41,9,0,1
6444,1029567,0,1,1,40,0,0,0,60,0,0,49,10,0,1
6445,1029574,0,1,22,20,1,1,9,14,0,2,52,5,0,1
6446,1029574,0,2,16,4,1,1,9,14,0,2,52,5,0,1
6447,1029576,0,2,16,4,1,1,2,14,0,2,43,9,0,1
6448,1029576,0,1,22,20,1,1,2,14,0,2,43,9,0,1
6449,1029579,0,1,9,36,1,2,8,62,0,1,51,9,0,1
6450,1029582,1,1,9,36,1,2,8,62,0,1,24,9,0,1
6451,1029583,0,1,9,36,1,2,8,62,0,1,38,9,0,1
6452,1029583,0,2,22,20,1,2,8,62,0,2,38,9,0,1
6453,1029583,0,4,16,4,1,2,8,62,0,2,38,9,0,1
6454,1029583,0,2,22,20,1,2,8,62,0,2,38,9,0,1
6455,1029583,0,3,22,20,1,2,8,62,0,2,38,9,0,1
6456,1029583,0,3,22,20,1,2,8,62,0,2,38,9,0,1
6457,1029584,1,1,9,36,1,2,8,62,0,1,21,9,0,1
6458,1029585,0,1,9,36,1,1,2,30,0,1,30,9,0,1
6459,1029586,0,1,15,1,1,2,8,62,0,0,43,9,0,1
6460,1029586,0,1,5,12,0,2,8,62,0,0,43,9,0,1
6461,1029586,0,1,14,5,1,2,8,62,0,2,43,9,0,1
6462,1029586,0,1,22,20,1,2,8,62,0,2,43,9,0,1
6463,1029592,0,1,32,7,1,1,2,14,0,0,25,9,0,1
6464,1029595,0,1,30,34,1,1,2,26,0,1,35,9,0,1
6465,1029595,0,1,42,32,1,1,2,26,0,2,35,9,0,1
6466,1029598,0,2,22,20,1,1,2,30,0,2,27,9,0,1
6467,1029598,0,1,9,36,1,1,2,30,0,1,27,9,0,1
6468,1029598,0,2,5,12,0,1,2,30,0,0,27,9,0,1
6469,1029598,0,2,40,28,0,1,2,30,0,0,27,9,0,1
6470,1029598,0,1,22,20,1,1,2,30,0,2,27,9,0,1
6471,1029598,0,2,18,42,1,1,2,30,0,2,27,9,0,1
6472,1029599,0,1,9,36,1,1,2,38,0,1,33,9,0,1
6473,1029601,0,1,22,20,1,1,4,40,0,2,26,9,0,1
6474,1029611,0,1,15,1,1,2,8,71,0,0,30,9,0,1
6475,1029614,0,1,15,1,1,1,4,14,0,0,35,9,0,1
6476,1029614,0,1,41,25,1,1,4,31,0,2,35,9,0,1
6477,1029614,0,1,15,1,1,1,4,31,0,0,35,9,0,1
6478,1029619,0,1,41,25,1,1,4,23,0,2,47,20,0,1
6479,1029619,0,1,22,20,1,1,4,23,0,2,47,20,0,1
6480,1029620,0,1,22,20,1,1,2,25,0,2,37,9,0,1
6481,1029622,0,2,34,9,1,1,2,14,0,1,26,9,0,1
6482,1029622,0,1,22,20,1,1,2,14,0,2,26,9,0,0
6483,1029626,1,1,9,36,1,1,2,31,0,1,46,23,0,1
6484,1029634,0,2,40,28,0,1,4,23,0,0,20,9,0,1
6485,1029634,0,1,22,20,1,1,4,30,0,2,20,9,0,1
6486,1029639,0,1,22,20,1,1,4,38,0,2,25,9,0,1
6487,1029639,0,1,9,36,1,1,4,38,0,1,25,9,0,1
6488,1029641,0,1,9,36,1,1,4,38,0,1,23,9,0,1
6489,1029642,0,1,5,12,0,0,0,2,0,0,31,9,0,1
6490,1029642,0,1,22,20,1,0,0,2,0,2,31,9,0,1
6491,1029643,0,1,40,28,0,1,4,23,0,0,20,20,0,1
6492,1029643,0,1,9,36,1,1,4,38,0,1,20,20,0,1
6493,1029643,0,1,40,28,0,1,4,38,0,0,20,20,0,1
6494,1029650,1,1,9,36,1,2,8,62,0,1,33,9,0,1
6495,1029651,0,1,9,36,1,2,8,62,0,1,40,9,0,1
6496,1029651,0,2,40,28,0,2,8,62,0,0,40,9,0,1
6497,1029652,0,1,8,38,1,1,4,38,0,1,32,9,0,1
6498,1029652,0,1,22,20,1,1,4,38,0,2,32,9,0,1
6499,1029652,0,2,16,4,1,1,4,38,0,2,32,9,0,1
6500,1029654,0,1,22,20,1,1,4,30,0,2,22,9,0,1
6501,1029659,1,1,1,40,0,0,0,45,0,0,35,9,0,1
6502,1029662,0,1,9,36,1,1,3,11,0,1,23,9,0,1
6503,1029662,0,2,11,6,1,1,3,11,0,0,23,9,0,1
6504,1029662,0,2,9,36,1,1,3,11,0,1,23,9,0,1
6505,1029662,0,1,11,6,1,1,3,11,0,0,23,9,0,1
6506,1029663,0,1,9,36,1,1,2,31,0,1,26,9,0,1
6507,1029664,0,1,9,36,1,1,3,38,0,1,23,9,0,1
6508,1029666,0,1,9,36,1,1,3,38,0,1,26,9,0,1
6509,1029667,0,1,9,36,1,1,3,38,0,1,25,9,0,1
6510,1029668,0,1,22,20,1,1,4,30,0,2,26,9,0,1
6511,1029669,0,1,9,36,1,1,3,38,0,1,25,9,0,1
6512,1029670,0,1,22,20,1,2,8,62,0,2,32,9,0,1
6513,1029671,0,1,9,36,1,1,3,10,0,1,23,9,0,1
6514,1029673,0,1,22,20,1,1,4,23,0,2,48,9,0,1
6515,1029675,0,1,9,36,1,1,2,31,0,1,28,9,0,1
6516,1029681,0,1,13,2,1,1,4,31,0,1,45,9,0,1
6517,1029681,0,1,13,2,1,1,4,23,0,1,45,9,0,1
6518,1029681,0,1,41,25,1,1,4,23,0,2,45,9,0,1
6519,1029681,0,1,22,20,1,1,4,23,0,2,45,9,0,1
6520,1029682,0,1,22,20,1,1,4,38,0,2,53,9,0,1
6521,1029684,0,1,22,20,1,1,4,14,0,2,22,9,0,1
6522,1029705,0,3,9,36,1,1,2,26,0,1,24,9,0,1
6523,1029705,0,2,9,36,1,1,2,26,0,1,24,9,0,1
6524,1029705,0,1,8,38,1,1,2,26,0,1,24,9,0,1
6525,1029705,0,2,8,38,1,1,2,26,0,1,24,9,0,1
6526,1029705,0,1,9,36,1,1,2,26,0,1,24,9,0,1
6527,1029712,1,1,41,25,1,1,4,38,0,2,25,9,0,1
6528,1029717,0,1,22,20,1,1,9,31,0,2,43,9,0,1
6529,1029719,1,1,15,1,1,1,2,14,0,0,24,9,0,1
6530,1029719,1,1,15,1,1,1,2,31,0,0,24,9,0,1
6531,1029725,0,1,22,20,1,1,4,31,0,2,32,9,0,1
6532,1029728,0,2,22,20,1,1,2,26,0,2,31,9,0,1
6533,1029728,0,2,15,1,1,1,2,26,0,0,31,9,0,1
6534,1029728,0,1,9,36,1,1,2,26,0,1,31,9,0,1
6535,1029728,0,1,22,20,1,1,2,26,0,2,31,9,0,1
6536,1029728,0,2,9,36,1,1,2,26,0,1,31,9,0,1
6537,1029741,0,1,40,28,0,1,2,26,0,0,31,9,0,1
6538,1029747,0,1,22,20,1,1,4,40,0,2,31,9,0,1
6539,1029753,0,1,25,17,1,1,2,38,0,2,28,9,0,1
6540,1029753,0,3,16,4,1,1,2,38,0,2,28,9,0,1
6541,1029753,0,1,22,20,1,1,2,38,0,2,28,9,0,1
6542,1029753,0,2,22,20,1,1,2,38,0,2,28,9,0,1
6543,1029753,0,2,25,17,1,1,2,38,0,2,28,9,0,1
6544,1029753,0,3,25,17,1,1,2,38,0,2,28,9,0,1
6545,1029753,0,2,16,4,1,1,2,38,0,2,28,9,0,1
6546,1029755,0,1,22,20,1,1,2,25,0,2,28,9,0,1
6547,1029755,0,2,22,20,1,1,2,25,0,2,28,9,0,1
6548,1029758,0,1,13,2,1,1,4,14,0,1,42,9,0,1
6549,1029758,0,1,34,9,1,1,4,14,0,1,42,9,0,1
6550,1029762,0,1,13,2,1,1,3,33,0,1,45,9,0,1
6551,1029762,0,2,20,43,1,1,3,33,0,2,45,9,0,1
