,Activos,STD_ID_PERSON,STD_N_GENDERESP,Num_Periodo,SSP_ID_CONT_INTERN,SSP_NM_CONT_INESP,SSP_NO_DEFINIDO,CSP_N_AG_CATEGOR,CSP_NM_CATEGORESP,STD_N_WU_TYPEESP,STD_WORK_LOCESP,CSP_N_COLECTIVO,Edad,Nacionalidad,SSP_ID_MINUSVALIA
31,1,1003678,0,2,1,40,0,0,0,73,0,0,50,9,0
32,1,1003678,0,2,1,40,0,2,5,73,0,0,50,9,0
33,1,1003678,0,2,1,40,0,0,0,67,0,0,50,9,0
34,1,1003678,0,2,1,40,0,0,0,46,0,0,50,9,0
35,1,1003678,0,2,1,40,0,2,5,46,0,0,50,9,0
36,1,1003679,1,2,5,12,0,2,8,65,0,0,58,9,0
37,1,1003680,0,2,1,40,0,0,0,51,0,0,58,9,0
38,1,1003703,0,2,5,12,0,1,2,26,0,0,37,9,0
39,1,1003714,0,2,1,40,0,2,6,71,0,0,37,9,0
40,1,1003715,1,1,30,34,1,0,0,5,0,1,47,9,0
41,1,1003717,0,2,1,40,0,0,0,50,0,0,47,9,0
42,1,1003718,0,2,1,40,0,2,6,76,0,0,42,9,0
43,1,1003721,0,2,5,12,0,2,8,62,0,0,47,9,0
44,1,1003722,0,2,5,12,0,2,8,62,0,0,54,9,0
45,1,1003742,0,2,1,40,0,0,0,40,0,0,46,9,0
46,1,1003756,1,2,1,40,0,0,0,57,0,0,53,9,0
47,1,1003762,0,2,1,40,0,0,0,56,1,0,55,9,0
48,1,1003771,1,2,5,12,0,2,6,65,0,0,31,9,0
49,1,1003771,1,2,5,12,0,2,8,65,0,0,31,9,0
50,1,1003784,0,2,5,12,0,2,8,62,0,0,40,9,0
51,1,1003786,0,2,5,12,0,2,8,62,0,0,55,9,0
52,1,1003788,0,2,5,12,0,2,8,62,0,0,48,9,0
53,1,1003789,1,2,5,12,0,2,7,33,0,0,34,9,0
54,1,1003789,1,3,5,12,0,2,7,33,0,0,34,9,0
55,1,1003789,1,4,40,28,0,1,3,33,0,0,34,9,0
56,1,1003790,0,2,5,12,0,2,8,62,1,0,53,9,0
57,0,1003791,0,2,5,12,0,2,8,68,0,0,39,9,0
58,1,1003791,0,2,5,12,0,2,8,68,0,0,39,9,0
59,1,1003802,0,2,1,40,0,1,2,30,0,0,45,9,0
60,1,1003822,1,3,11,6,1,1,2,21,0,0,50,9,0
61,1,1003822,1,2,22,20,1,1,2,21,0,2,50,9,0
62,1,1003822,1,2,11,6,1,1,2,21,0,0,50,9,0
63,1,1003822,1,3,22,20,1,1,2,21,0,2,50,9,0
64,1,1003838,0,2,1,40,0,0,0,51,0,0,49,9,0
65,1,1003842,0,2,5,12,0,2,8,62,0,0,40,9,0
66,1,1003847,0,2,5,12,0,2,8,68,0,0,39,9,0
67,1,1003851,1,2,1,40,0,0,0,50,0,0,49,9,0
68,1,1003855,0,2,1,40,0,0,0,55,0,0,45,9,0
69,1,1003856,0,2,1,40,0,0,0,52,0,0,63,9,0
70,1,1003910,0,2,5,12,0,1,2,32,0,0,44,9,0
71,1,1003910,0,2,5,12,0,1,2,14,0,0,44,9,0
72,1,1003914,0,2,1,40,0,0,0,52,0,0,45,9,0
73,0,1003914,0,2,1,40,0,0,0,52,0,0,45,9,0
74,1,1003917,0,2,5,12,0,2,7,33,0,0,48,9,0
75,1,1003917,0,2,5,12,0,1,3,33,0,0,48,9,0
76,1,1003973,1,2,5,12,0,2,7,33,0,0,42,9,0
77,1,1003973,1,2,5,12,0,1,3,33,0,0,42,9,0
78,1,1003976,0,2,5,12,0,2,7,33,0,0,36,9,0
79,1,1003976,0,2,5,12,0,1,3,33,0,0,36,9,0
80,1,1003977,0,2,1,40,0,2,7,33,0,0,47,9,0
81,1,1003977,0,2,1,40,0,1,3,33,0,0,47,9,0
82,0,1003977,0,2,1,40,0,2,7,33,0,0,47,9,0
83,1,1003978,0,2,5,12,0,1,3,33,0,0,42,9,0
84,1,1003978,0,2,5,12,0,2,7,33,0,0,42,9,0
85,1,1003980,0,2,5,12,0,1,3,11,0,0,36,9,0
86,1,1003980,0,2,5,12,0,2,7,11,0,0,36,9,0
87,1,1003984,1,2,1,40,0,0,0,52,0,0,42,9,0
88,1,1003989,0,2,1,40,0,0,0,50,0,0,47,9,0
89,1,1003994,1,2,1,40,0,2,8,62,0,0,47,9,0
90,1,1003995,0,2,1,40,0,0,0,46,0,0,49,9,0
91,1,1003996,0,2,1,40,0,0,0,39,0,0,48,9,0
92,1,1004000,1,2,1,40,0,0,0,6,0,0,46,9,0
93,1,1004013,1,2,1,40,0,0,0,53,0,0,42,9,0
94,0,1004014,0,2,1,40,0,0,0,54,0,0,42,9,0
95,1,1004014,0,2,1,40,0,0,0,54,0,0,42,9,0
96,1,1004015,0,2,1,40,0,0,0,0,0,0,47,9,0
97,1,1004019,0,2,1,40,0,0,0,45,0,0,45,9,0
98,1,1004021,0,2,1,40,0,0,0,9,0,0,47,9,0
99,1,1004022,0,2,1,40,0,0,0,40,0,0,45,9,0
100,1,1004023,1,2,1,40,0,0,0,44,1,0,42,9,0
101,1,1004023,1,2,1,40,0,0,0,44,0,0,42,9,0
102,1,1004024,0,2,1,40,0,0,0,52,0,0,42,9,0
103,1,1004030,0,2,1,40,0,0,0,45,0,0,52,9,0
104,1,1004033,0,2,1,40,0,0,0,57,0,0,51,9,0
105,1,1004033,0,2,6,39,0,0,0,57,0,0,51,9,0
106,1,1004034,0,2,1,40,0,2,8,62,0,0,49,9,0
107,1,1004035,0,2,5,12,0,2,8,62,0,0,39,9,0
108,1,1004038,0,3,1,40,0,2,8,62,0,0,51,9,0
109,0,1004038,0,3,1,40,0,2,8,62,0,0,51,9,0
110,1,1004040,0,2,1,40,0,1,2,32,0,0,49,9,0
111,1,1004041,1,2,5,12,0,2,8,62,0,0,39,9,0
112,1,1004044,0,2,1,40,0,0,0,46,0,0,46,9,0
113,1,1004064,0,2,5,12,0,2,8,62,0,0,51,9,0
114,0,1004064,0,2,5,12,0,2,8,62,0,0,51,9,0
115,1,1004064,0,4,1,40,0,2,8,62,0,0,51,9,0
116,1,1004064,0,3,1,40,0,2,8,62,0,0,51,9,0
117,1,1004064,0,3,1,40,0,2,8,62,0,0,51,9,0
118,1,1004064,0,4,1,40,0,2,8,62,0,0,51,9,0
119,1,1004069,1,2,1,40,0,0,0,45,0,0,47,9,0
120,1,1004069,1,2,6,39,0,0,0,45,0,0,47,9,0
121,1,1004069,1,2,1,40,0,0,0,45,0,0,47,9,0
122,1,1004077,0,2,1,40,0,0,0,51,0,0,44,9,0
123,1,1004080,0,2,5,12,0,1,4,40,0,0,43,9,0
124,1,1004080,0,2,5,12,0,1,4,17,0,0,43,9,0
125,1,1004082,1,2,5,12,0,1,4,32,0,0,39,9,0
126,1,1004083,0,2,5,12,0,1,4,14,0,0,44,9,0
127,1,1004086,0,2,5,12,0,1,4,40,0,0,37,9,0
128,0,1004086,0,2,5,12,0,1,4,40,0,0,37,9,0
129,1,1004088,1,2,1,40,0,1,9,26,0,0,48,9,0
130,1,1004088,1,2,1,40,0,1,9,38,0,0,48,9,0
131,1,1004089,0,2,5,12,0,2,8,68,0,0,43,9,0
132,1,1004090,0,2,1,40,0,0,0,57,0,0,42,9,0
133,0,1004090,0,2,1,40,0,0,0,57,0,0,42,9,0
134,1,1004092,0,2,5,12,0,1,3,33,0,0,41,9,0
135,1,1004092,0,2,5,12,0,2,7,33,0,0,41,9,0
136,1,1004095,0,2,1,40,0,0,0,4,0,0,41,9,0
137,1,1004105,0,2,1,40,0,2,6,71,0,0,49,9,0
138,1,1004109,0,2,5,12,0,1,4,32,0,0,43,9,0
139,1,1004110,0,2,5,12,0,1,4,32,0,0,44,9,0
140,1,1004112,0,2,5,12,0,1,4,38,0,0,34,9,0
141,0,1004112,0,2,5,12,0,1,4,38,0,0,34,9,0
142,1,1004114,0,2,5,12,0,1,4,38,0,0,39,9,0
143,1,1004117,0,2,5,12,0,1,4,26,0,0,39,9,0
144,1,1004119,0,3,1,40,0,1,2,32,0,0,42,9,0
145,1,1004119,0,2,1,40,0,1,2,32,0,0,42,9,0
146,1,1004120,0,2,5,12,0,1,2,15,0,0,38,9,0
147,0,1004120,0,2,5,12,0,1,2,15,0,0,38,9,0
148,1,1004122,0,2,5,12,0,1,2,31,0,0,38,9,0
149,1,1004123,0,2,5,12,0,1,2,30,0,0,43,9,0
150,1,1004127,0,2,5,12,0,2,7,10,0,0,50,9,0
151,1,1004127,0,2,5,12,0,1,3,10,0,0,50,9,0
152,1,1004128,0,2,5,12,0,2,7,10,0,0,42,9,0
153,1,1004128,0,2,5,12,0,1,3,10,0,0,42,9,0
154,1,1004130,0,2,5,12,0,1,2,14,0,0,41,9,0
155,1,1004131,0,2,5,12,0,1,2,14,0,0,38,9,0
156,0,1004131,0,2,5,12,0,1,2,14,0,0,38,9,0
157,1,1004134,0,2,5,12,0,1,2,14,0,0,44,9,0
158,1,1004134,0,2,5,12,0,1,2,31,0,0,44,9,0
159,1,1004135,0,2,5,12,0,1,2,14,0,0,44,9,0
160,1,1004136,0,2,5,12,0,1,2,14,0,0,51,9,0
161,1,1004139,0,2,5,12,0,1,2,14,0,0,38,9,0
162,1,1004140,0,2,5,12,0,1,2,14,0,0,41,9,0
163,0,1004140,0,2,5,12,0,1,2,14,0,0,41,9,0
164,1,1004142,0,2,5,12,0,1,4,14,0,0,37,9,0
165,1,1004144,1,2,1,40,0,1,4,14,0,0,47,9,0
166,1,1004145,0,2,5,12,0,1,4,14,0,0,44,9,0
167,1,1004145,0,2,5,12,0,1,4,14,0,0,44,9,1
168,1,1004146,0,2,5,12,0,2,7,10,0,0,37,9,0
169,1,1004146,0,2,5,12,0,1,3,10,0,0,37,9,0
170,0,1004146,0,2,5,12,0,1,3,10,0,0,37,9,0
171,1,1004147,0,2,5,12,0,1,4,14,0,0,39,9,0
172,1,1004151,0,2,5,12,0,1,2,14,0,0,41,9,0
173,1,1004153,0,2,5,12,0,1,2,14,0,0,44,9,0
174,1,1004154,1,2,5,12,0,1,2,19,0,0,41,9,0
175,1,1004155,0,2,5,12,0,1,2,14,0,0,47,9,0
176,1,1004157,0,2,5,12,0,1,4,14,0,0,39,9,0
177,1,1004159,1,2,1,40,0,0,0,58,0,0,42,9,0
178,1,1004161,0,2,5,12,0,1,4,23,0,0,46,9,0
179,1,1004169,0,2,5,12,0,1,4,14,0,0,39,9,0
180,1,1004169,0,2,5,12,0,1,4,14,0,0,39,9,1
181,1,1004170,0,2,5,12,0,1,2,38,0,0,36,9,0
182,1,1004173,1,2,5,12,0,1,9,38,0,0,41,9,0
183,1,1004176,0,2,5,12,0,1,3,11,0,0,48,9,0
184,1,1004176,0,2,5,12,0,2,7,11,0,0,48,9,0
185,1,1004190,0,2,1,40,0,0,0,60,0,0,43,9,0
186,1,1004195,1,2,1,40,0,0,0,60,0,0,43,9,0
187,1,1004199,1,2,1,40,0,0,0,8,0,0,43,9,0
188,1,1004201,1,2,1,40,0,0,0,60,0,0,46,9,0
189,1,1004204,1,2,1,40,0,0,0,60,0,0,46,9,0
190,1,1004204,1,2,6,39,0,0,0,60,0,0,46,9,0
191,1,1004209,0,2,1,40,0,0,0,57,0,0,55,9,0
192,1,1004211,1,2,1,40,0,0,0,8,0,0,44,9,0
193,1,1004213,0,2,1,40,0,2,8,62,0,0,39,9,0
194,1,1004214,0,2,5,12,0,1,2,26,0,0,40,9,0
195,1,1004215,0,2,5,12,0,1,2,26,0,0,39,9,0
196,0,1004215,0,2,5,12,0,1,2,26,0,0,39,9,0
197,1,1004217,0,2,5,12,0,1,2,32,0,0,47,9,0
198,1,1004218,0,2,5,12,0,1,4,26,0,0,36,9,0
199,1,1004219,0,2,5,12,0,1,4,23,0,0,37,9,0
200,1,1004225,0,2,1,40,0,1,2,15,0,0,38,9,0
201,1,1004225,0,3,1,40,0,1,2,15,0,0,38,9,0
202,1,1004226,0,2,5,12,0,1,4,26,0,0,36,9,0
203,1,1004227,0,2,1,40,0,1,4,26,0,0,40,9,0
204,1,1004228,0,2,5,12,0,1,2,32,0,0,38,9,0
205,1,1004232,0,2,5,12,0,1,4,32,0,0,40,9,0
206,0,1004232,0,2,5,12,0,1,4,32,0,0,40,9,0
207,1,1004234,0,2,5,12,0,2,8,65,0,0,58,9,0
208,1,1004236,0,2,5,12,0,2,8,62,0,0,69,9,0
209,1,1004239,1,2,1,40,0,0,0,51,0,0,41,9,0
210,1,1004241,1,2,5,12,0,1,9,38,0,0,38,9,0
211,1,1004245,0,2,1,40,0,2,8,62,1,0,53,9,0
212,1,1004247,0,2,5,12,0,2,8,62,0,0,40,9,0
213,1,1004248,0,2,5,12,0,2,8,62,0,0,46,9,0
214,1,1004249,0,2,5,12,0,2,8,62,0,0,56,9,0
215,1,1004262,0,3,1,40,0,1,2,14,1,0,45,9,0
216,1,1004266,0,2,1,40,0,1,2,22,0,0,49,9,0
217,1,1004266,0,2,1,40,0,1,2,20,0,0,49,9,0
218,1,1004272,0,2,5,12,0,1,4,30,0,0,35,9,0
219,1,1004276,0,2,5,12,0,2,8,40,0,0,35,9,0
220,1,1004277,0,2,1,40,0,0,0,46,0,0,48,9,0
221,1,1004279,1,2,5,12,0,1,9,32,0,0,38,9,0
222,0,1004288,0,2,5,12,0,1,2,24,0,0,37,9,0
223,1,1004288,0,2,5,12,0,1,2,24,0,0,37,9,0
224,1,1004290,1,2,5,12,0,1,2,36,0,0,37,9,0
225,1,1004292,0,2,1,40,0,1,2,18,0,0,39,9,0
226,1,1004292,0,2,1,40,0,1,2,24,0,0,39,9,0
227,1,1004292,0,2,1,40,0,1,2,21,0,0,39,9,0
228,1,1004292,0,2,1,40,0,1,2,15,0,0,39,9,0
229,0,1004293,0,2,5,12,0,1,2,31,0,0,38,9,0
230,1,1004293,0,2,5,12,0,1,2,31,0,0,38,9,0
231,1,1004296,0,2,1,40,0,1,2,31,0,0,39,9,0
232,1,1004296,0,2,1,40,0,1,2,14,0,0,39,9,0
233,1,1004297,0,2,5,12,0,1,2,32,0,0,38,9,0
234,1,1004299,0,3,5,12,0,1,4,38,0,0,37,9,0
235,1,1004299,0,2,5,12,0,1,4,38,0,0,37,9,0
236,0,1004299,0,3,5,12,0,1,4,38,0,0,37,9,0
237,1,1004303,0,2,5,12,0,1,9,14,0,0,58,9,0
238,1,1004303,0,2,5,12,0,1,9,31,0,0,58,9,0
239,1,1004305,0,2,5,12,0,1,9,31,0,0,34,9,0
240,1,1004307,1,2,5,12,0,1,2,32,0,0,37,9,0
241,1,1004308,1,2,5,12,0,1,2,26,0,0,42,9,0
242,1,1004311,0,2,1,40,0,1,4,38,0,0,35,9,0
243,1,1004311,0,2,1,40,0,1,4,30,0,0,35,9,0
244,0,1004311,0,2,1,40,0,1,4,38,0,0,35,9,0
245,1,1004312,0,2,5,12,0,1,2,38,0,0,43,9,0
246,1,1004315,0,2,1,40,0,1,2,38,0,0,47,9,0
247,1,1004316,1,7,5,12,0,1,4,38,0,0,33,9,0
248,1,1004318,0,2,5,12,0,1,2,21,0,0,34,9,0
249,1,1004319,0,2,5,12,0,1,4,38,0,0,43,9,0
250,1,1004322,0,2,5,12,0,1,2,38,0,0,40,9,0
251,1,1004324,0,2,5,12,0,1,2,38,0,0,42,9,0
252,0,1004326,0,2,1,40,0,1,4,38,0,0,46,9,0
253,1,1004326,0,2,1,40,0,1,4,38,0,0,46,9,0
254,1,1004328,0,2,5,12,0,1,4,38,0,0,36,9,0
255,1,1004330,0,2,1,40,0,1,4,14,0,0,46,9,0
256,1,1004359,0,2,5,12,0,1,4,30,0,0,46,9,0
257,1,1004361,0,2,5,12,0,1,4,30,0,0,33,9,0
258,0,1004361,0,2,5,12,0,1,4,30,0,0,33,9,0
259,1,1004362,0,2,5,12,0,1,4,30,0,0,35,9,0
260,1,1004365,0,2,5,12,0,1,4,30,0,0,45,9,0
261,1,1004365,0,2,5,12,0,1,4,23,0,0,45,9,0
262,1,1004366,0,2,5,12,0,1,4,30,0,0,40,9,0
263,1,1004369,0,2,5,12,0,1,2,38,0,0,39,9,0
264,1,1004375,1,2,5,12,0,1,9,38,0,0,34,9,0
265,1,1004376,1,2,5,12,0,1,9,38,0,0,37,9,0
266,1,1004378,1,2,5,12,0,1,9,38,0,0,41,9,0
267,1,1004380,1,2,5,12,0,1,9,38,0,0,38,9,0
268,1,1004380,1,2,5,12,0,1,9,14,1,0,38,9,0
269,1,1004381,1,2,5,12,0,1,2,38,0,0,49,9,0
270,1,1004382,1,2,5,12,0,1,9,38,0,0,51,9,0
271,1,1004383,1,2,5,12,0,1,9,38,0,0,37,9,0
272,1,1004385,0,2,5,12,0,1,2,38,0,0,43,9,0
273,1,1004386,1,2,1,40,0,1,9,38,0,0,36,9,0
274,1,1004389,0,2,5,12,0,1,2,38,0,0,39,9,0
275,1,1004390,1,2,5,12,0,1,9,38,0,0,44,9,1
276,1,1004390,1,2,5,12,0,1,9,25,0,0,44,9,1
277,1,1004394,0,2,1,40,0,1,2,30,0,0,53,9,0
278,1,1004394,0,1,5,12,0,1,2,30,0,0,53,9,0
279,1,1004396,1,2,5,12,0,1,2,21,0,0,42,9,0
280,1,1004396,1,3,34,9,1,1,2,21,0,1,42,9,0
281,1,1004398,0,2,5,12,0,1,4,30,0,0,34,9,0
282,1,1004401,0,2,5,12,0,1,2,14,0,0,51,9,0
283,1,1004425,1,3,28,18,0,0,0,46,0,0,63,9,0
284,1,1004427,0,2,5,12,0,1,2,23,0,0,38,9,0
285,1,1004431,0,2,5,12,0,1,2,23,0,0,38,9,0
286,1,1004432,0,2,1,40,0,1,2,23,0,0,42,9,0
287,1,1004433,0,3,1,40,0,1,2,23,0,0,38,9,0
288,1,1004433,0,2,1,40,0,1,2,23,0,0,38,9,0
289,0,1004433,0,3,1,40,0,1,2,23,0,0,38,9,0
290,1,1004434,0,2,1,40,0,1,2,23,0,0,37,9,0
291,1,1004434,0,3,1,40,0,1,2,23,0,0,37,9,0
292,1,1004438,0,2,5,12,0,1,2,32,0,0,36,9,0
293,1,1004441,0,2,1,40,0,1,2,38,0,0,38,9,0
294,0,1004441,0,2,1,40,0,1,2,38,0,0,38,9,0
295,1,1004442,0,3,1,40,0,1,2,30,0,0,44,9,0
296,0,1004442,0,3,1,40,0,1,2,30,0,0,44,9,0
297,1,1004442,0,2,5,12,0,1,2,30,0,0,44,9,0
298,1,1004443,0,2,5,12,0,1,2,30,0,0,37,9,0
299,1,1004444,0,2,5,12,0,1,2,23,0,0,42,9,0
300,1,1004445,0,2,5,12,0,1,2,30,0,0,46,9,0
301,0,1004445,0,2,5,12,0,1,2,30,0,0,46,9,0
302,1,1004449,0,2,1,40,0,0,0,51,0,0,43,9,0
303,1,1004451,0,2,1,40,0,0,0,46,0,0,49,9,0
304,1,1004455,0,3,1,40,0,0,0,60,0,0,45,9,0
305,1,1004457,0,2,1,40,0,0,0,51,0,0,43,9,0
306,1,1004460,0,2,1,40,0,0,0,59,0,0,44,9,0
307,1,1004464,0,2,1,40,0,0,0,51,0,0,43,9,0
308,1,1004468,0,2,5,12,0,1,4,32,0,0,33,9,0
309,1,1004473,0,2,5,12,0,1,2,32,0,0,41,9,0
310,1,1004473,0,2,5,12,0,1,2,31,0,0,41,9,0
311,0,1004473,0,2,5,12,0,1,2,32,0,0,41,9,0
312,0,1004473,0,2,5,12,0,1,2,31,0,0,41,9,0
313,1,1004474,0,2,5,12,0,1,2,31,0,0,45,9,0
314,1,1004475,0,2,1,40,0,1,2,32,0,0,40,9,0
315,0,1004475,0,2,1,40,0,1,2,32,0,0,40,9,0
316,1,1004477,0,2,5,12,0,1,2,32,0,0,47,9,0
317,1,1004479,0,2,5,12,0,1,2,32,0,0,38,9,0
318,1,1004480,0,2,5,12,0,1,2,14,0,0,44,9,0
319,1,1004481,0,2,5,12,0,1,2,23,0,0,38,9,0
320,1,1004483,0,2,1,40,0,1,9,31,0,0,43,9,0
321,1,1004483,0,2,1,40,0,1,4,14,0,0,43,9,0
322,1,1004483,0,2,1,40,0,1,9,14,0,0,43,9,0
323,1,1004489,0,2,5,12,0,2,6,31,0,0,40,9,0
324,0,1004489,0,2,5,12,0,2,6,31,0,0,40,9,0
325,1,1004492,1,2,5,12,0,1,9,32,0,0,51,9,0
326,1,1004495,1,2,5,12,0,1,9,38,0,0,45,9,0
327,0,1004495,1,2,5,12,0,1,9,38,0,0,45,9,0
328,1,1004501,0,2,1,40,0,1,2,38,0,0,42,9,0
329,1,1004503,0,2,1,40,0,1,4,23,0,0,37,9,0
330,1,1004504,0,2,5,12,0,1,4,23,0,0,35,9,0
331,1,1004505,0,2,1,40,0,1,4,23,0,0,39,9,0
332,1,1004506,0,2,1,40,0,1,4,23,0,0,38,9,0
333,1,1004509,0,2,5,12,0,1,4,23,0,0,44,9,0
334,1,1004510,0,2,5,12,0,1,4,23,0,0,37,9,0
335,1,1004513,0,2,1,40,0,1,4,14,0,0,49,9,0
336,1,1004531,0,2,5,12,0,1,4,14,0,0,60,9,0
337,1,1004532,0,2,5,12,0,1,4,32,0,0,42,9,0
338,1,1004533,1,2,5,12,0,1,9,38,0,0,62,9,0
339,1,1004538,0,2,5,12,0,1,4,38,0,0,36,9,0
340,1,1004539,1,2,5,12,0,1,9,38,0,0,41,9,0
341,1,1004539,1,3,5,12,0,1,9,38,0,0,41,9,0
342,1,1004539,1,2,5,12,0,1,9,38,0,0,41,9,0
343,1,1004539,1,3,5,12,0,1,9,38,0,0,41,9,0
344,1,1004543,1,2,1,40,0,0,0,6,0,0,56,9,0
345,1,1004543,1,2,6,39,0,0,0,6,0,0,56,9,0
346,1,1004546,0,2,5,12,0,1,2,32,0,0,34,9,0
347,1,1004547,0,2,1,40,0,1,2,32,0,0,36,9,0
348,1,1004548,0,2,1,40,0,1,2,32,0,0,38,9,0
349,1,1004549,0,2,5,12,0,1,2,32,0,0,54,9,0
350,1,1004551,1,2,5,12,0,1,2,32,0,0,41,9,0
351,1,1004553,0,2,5,12,0,1,2,32,0,0,38,9,0
352,1,1004553,0,2,5,12,0,1,4,32,0,0,38,9,0
353,0,1004553,0,2,5,12,0,1,2,32,0,0,38,9,0
354,1,1004554,0,2,1,40,0,1,4,32,0,0,32,9,0
355,1,1004554,0,2,1,40,0,1,4,26,0,0,32,9,0
356,1,1004555,0,2,5,12,0,1,4,38,0,0,32,9,0
357,1,1004555,0,2,5,12,0,1,4,26,0,0,32,9,0
358,0,1004556,0,2,1,40,0,1,2,25,1,0,38,9,0
359,1,1004556,0,2,1,40,0,1,2,25,1,0,38,9,0
360,1,1004557,0,2,5,12,0,1,2,25,1,0,42,9,0
361,1,1004558,0,3,5,12,0,1,4,14,1,0,51,9,0
362,1,1004565,0,2,5,12,0,1,4,31,0,0,35,9,0
363,0,1004565,0,2,5,12,0,1,4,31,0,0,35,9,0
364,1,1004571,0,2,5,12,0,1,4,31,0,0,59,9,0
365,1,1004573,0,2,5,12,0,1,4,26,0,0,36,9,0
366,0,1004573,0,2,5,12,0,1,4,26,0,0,36,9,0
367,1,1004574,0,2,5,12,0,1,2,26,0,0,38,9,0
368,1,1004581,0,2,5,12,0,1,4,32,0,0,55,9,0
369,1,1004582,0,2,5,12,0,1,2,26,0,0,37,9,0
370,1,1004591,0,2,5,12,0,1,2,31,0,0,38,9,0
371,1,1004591,0,2,5,12,0,1,2,36,0,0,38,9,0
372,1,1004592,0,2,5,12,0,1,4,31,0,0,39,9,0
373,1,1004593,0,2,5,12,0,1,2,32,0,0,39,9,0
374,1,1004595,0,2,5,12,0,1,2,30,0,0,42,9,0
375,1,1004615,0,2,5,12,0,1,2,26,0,0,39,9,0
376,1,1004617,0,2,5,12,0,1,2,14,0,0,35,9,0
377,1,1004620,0,2,5,12,0,1,2,32,0,0,36,9,0
378,1,1004624,0,2,1,40,0,1,2,26,0,0,37,9,0
379,0,1004624,0,2,1,40,0,1,2,26,0,0,37,9,0
380,1,1004625,0,2,5,12,0,1,4,23,0,0,34,9,0
381,1,1004626,0,2,5,12,0,1,2,38,0,0,37,9,0
382,1,1004628,0,2,5,12,0,1,2,38,0,0,46,9,0
383,1,1004629,0,2,5,12,0,1,4,32,0,0,48,9,0
384,1,1004630,0,2,1,40,0,1,2,38,0,0,41,9,0
385,1,1004630,0,2,1,40,0,1,2,38,0,0,41,9,2
386,1,1004646,0,2,5,12,0,1,4,38,0,0,35,9,0
387,1,1004648,0,2,1,40,0,1,4,31,0,0,36,9,0
388,1,1004649,0,2,5,12,0,1,2,23,0,0,39,9,0
389,0,1004649,0,2,5,12,0,1,2,23,0,0,39,9,0
390,1,1004650,0,2,5,12,0,1,2,22,0,0,37,9,0
391,0,1004664,0,2,1,40,0,1,2,32,0,0,38,9,0
392,1,1004664,0,2,1,40,0,1,2,32,0,0,38,9,0
393,1,1004669,0,2,1,40,0,1,2,23,0,0,40,9,0
394,1,1004674,0,2,5,12,0,1,2,26,0,0,38,9,0
395,1,1004675,1,2,1,40,0,1,2,26,0,0,39,9,0
396,1,1004679,0,2,5,12,0,1,2,26,0,0,35,9,0
397,1,1004679,0,2,5,12,0,1,2,32,0,0,35,9,0
398,1,1004685,0,2,1,40,0,0,0,51,0,0,44,9,0
399,1,1004686,0,2,1,40,0,0,0,51,0,0,43,9,0
400,1,1004690,0,2,1,40,0,1,4,26,0,0,34,9,0
